Red
173	221	249	247	243	242	241	240	240	240	240	240	239	239	239	239	239	239	240	240	244	246	211	167	168	168	
218	254	230	231	231	232	232	231	231	231	231	231	230	230	230	230	230	230	230	228	228	228	250	208	163	168	
249	230	233	233	233	233	233	232	232	232	232	232	231	231	231	231	231	231	232	230	230	230	227	246	177	168	
248	232	233	233	233	233	233	232	232	232	232	232	231	231	231	231	232	230	228	228	230	230	228	245	203	166	
243	232	233	233	233	233	233	232	232	232	232	232	231	231	231	233	224	218	241	241	229	230	229	240	215	158	
241	232	233	233	233	233	233	232	232	232	232	232	231	231	231	233	208	244	255	255	236	229	229	238	219	158	
241	232	233	233	233	234	234	232	232	232	232	232	231	231	232	227	210	255	254	255	239	228	229	238	221	156	
241	232	233	233	235	230	230	230	230	230	231	231	230	229	232	219	224	255	255	255	233	229	229	238	221	157	
241	232	233	236	216	228	244	243	243	238	237	237	237	237	237	235	247	248	248	239	228	230	229	238	221	157	
241	232	233	235	207	249	255	255	247	231	232	232	231	231	231	232	230	229	229	229	230	230	229	238	221	157	
241	232	234	230	211	254	255	255	238	230	232	232	231	231	231	231	231	231	231	230	230	230	229	238	221	157	
241	232	235	223	218	255	254	255	235	231	232	232	231	231	231	232	232	231	231	230	230	230	229	238	221	157	
241	231	237	216	227	255	254	252	232	232	232	232	231	231	233	228	226	230	230	230	230	230	229	238	221	157	
241	231	237	211	238	255	255	247	231	232	232	232	231	233	225	214	245	249	235	229	230	230	229	238	221	157	
241	232	234	208	249	255	255	244	230	232	232	232	230	235	209	237	255	255	245	228	230	230	229	238	221	157	
241	233	230	211	254	255	255	238	231	232	232	232	231	231	205	250	254	255	244	228	230	230	229	238	221	157	
241	235	222	219	255	255	255	239	231	232	232	232	232	226	224	255	255	255	236	229	230	230	229	238	221	157	
241	234	223	218	244	243	243	242	237	237	237	237	237	237	243	243	243	237	230	230	230	230	229	238	221	156	
242	232	234	232	231	231	231	230	231	231	231	231	230	230	229	229	229	230	231	230	230	230	229	238	219	157	
243	232	233	233	233	233	234	232	232	232	232	232	231	231	231	232	231	231	231	230	230	230	229	240	215	158	
248	232	233	233	233	233	233	232	232	232	232	232	231	231	231	231	231	231	231	230	230	230	228	245	203	166	
249	230	233	233	233	233	233	232	232	232	232	232	231	231	231	231	231	231	231	230	230	230	227	246	178	168	
219	253	231	231	232	232	232	231	231	231	231	231	230	230	230	230	230	230	230	229	228	228	250	210	163	168	
174	222	249	247	243	241	240	240	240	240	240	240	239	239	239	239	239	239	239	240	244	247	214	167	168	168	
168	168	191	214	223	227	227	227	227	227	227	227	226	226	226	226	226	226	224	220	210	185	162	168	168	168	
168	168	168	168	167	168	167	167	167	167	167	167	168	168	168	168	168	167	167	166	168	168	168	168	168	168	
168	168	169	169	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	168	169	169	167	168	168	168	
168	168	168	168	167	168	168	168	168	168	168	168	168	168	168	168	168	168	168	167	168	168	168	168	168	168	
